lower,upper,layer_jump
433,755,2
433,887,3
433,1027,4
434,600,1
434,744,2
435,602,1
436,744,2
437,1153,5
438,593,1
438,733,2
439,593,1
439,608,1
439,733,2
439,754,2
439,891,3
440,607,1
440,757,2
440,894,3
441,610,1
441,611,1
441,760,2
441,896,3
442,609,1
442,613,1
442,893,3
443,593,1
444,612,1
444,733,2
445,894,3
445,1033,4
446,760,2
446,904,3
447,612,1
447,901,3
448,905,3
448,1261,6
449,614,1
449,615,1
449,760,2
449,1040,4
450,764,2
451,763,2
451,908,3
451,1159,5
452,616,1
453,1268,6
454,621,1
454,771,2
454,775,2
454,911,3
455,619,1
455,622,1
455,772,2
455,780,2
455,922,3
456,774,2
456,1044,4
456,1271,6
457,918,3
458,769,2
459,619,1
459,626,1
459,777,2
460,630,1
460,783,2
460,784,2
460,1050,4
460,1170,5
460,1270,6
461,776,2
462,628,1
462,631,1
462,781,2
462,788,2
462,923,3
462,927,3
462,1057,4
462,1176,5
462,1276,6
463,782,2
463,1277,6
464,626,1
464,921,3
465,776,2
465,785,2
465,1059,4
465,1279,6
466,1056,4
467,632,1
467,1563,9
467,1802,12
468,929,3
469,1476,8
470,634,1
470,787,2
470,794,2
470,931,3
470,1068,4
471,1064,4
471,1479,8
472,633,1
472,934,3
472,1184,5
473,635,1
473,1062,4
473,1975,14
473,2422,20
474,795,2
474,1063,4
474,1183,5
475,638,1
475,1066,4
475,1187,5
476,639,1
476,797,2
476,939,3
476,1188,5
476,1390,7
477,644,1
477,1392,7
478,1391,7
478,1488,8
478,1489,8
479,802,2
479,2837,26
480,647,1
480,1294,6
481,1076,4
481,2058,15
482,1079,4
482,1740,11
482,2060,15
483,1581,9
483,2289,18
484,945,3
484,1077,4
485,1490,8
485,3135,31
486,1081,4
486,1583,9
487,653,1
487,1082,4
487,1585,9
488,656,1
488,1398,7
488,1905,13
488,2296,18
489,955,3
489,1404,7
490,954,3
490,1299,6
490,1589,9
490,2370,19
491,810,2
491,1203,5
492,662,1
493,662,1
493,963,3
494,3483,37
494,4404,55
495,1093,4
495,1754,11
495,1993,14
496,1827,12
496,2847,26
497,666,1
497,820,2
497,967,3
497,1207,5
498,2223,17
498,2446,20
499,970,3
499,1911,13
499,2513,21
500,969,3
500,1312,6
501,822,2
501,1098,4
502,826,2
502,1507,8
503,669,1
503,827,2
504,671,1
504,672,1
504,1313,6
505,829,2
506,976,3
506,3635,40
507,832,2
507,979,3
507,1316,6
508,834,2
508,1511,8
509,836,2
509,1217,5
511,984,3
511,1105,4
511,1218,5
511,1319,6
511,2449,20
512,1106,4
512,1421,7
513,1107,4
513,2232,17
514,987,3
514,1220,5
514,1516,8
515,682,1
515,1113,4
516,842,2
516,987,3
517,686,1
517,1111,4
518,687,1
518,1225,5
519,1226,5
519,1324,6
520,991,3
521,843,2
522,688,1
522,691,1
522,843,2
523,689,1
523,844,2
523,992,3
524,843,2
524,991,3
525,691,1
525,845,2
526,694,1
526,845,2
527,693,1
527,846,2
528,693,1
529,693,1
530,695,1
530,698,1
530,1007,3
530,1137,4
530,1346,6
530,1779,11
530,1857,12
531,696,1
531,699,1
531,852,2
532,693,1
532,697,1
532,700,1
532,846,2
532,848,2
533,693,1
534,693,1
535,699,1
535,1003,3
536,700,1
537,699,1
538,700,1
538,704,1
538,857,2
538,1006,3
539,705,1
539,856,2
540,703,1
540,858,2
540,861,2
540,2178,16
540,2627,22
541,701,1
541,1004,3
541,1133,4
542,700,1
542,857,2
542,863,2
543,700,1
544,707,1
544,1241,5
544,1948,13
545,858,2
546,704,1
547,864,2
547,1008,3
548,708,1
549,703,1
549,718,1
549,723,1
550,700,1
550,863,2
551,711,1
551,1009,3
551,1698,10
551,1865,12
551,2877,26
552,711,1
552,712,1
552,714,1
553,704,1
553,863,2
554,865,2
555,714,1
556,713,1
556,863,2
557,715,1
557,863,2
558,1006,3
559,720,1
560,713,1
561,867,2
561,1139,4
562,719,1
562,722,1
562,868,2
562,870,2
562,873,2
563,872,2
563,1006,3
565,871,2
566,872,2
567,871,2
568,872,2
568,1013,3
569,726,1
570,725,1
570,727,1
570,874,2
570,876,2
572,875,2
573,728,1
574,728,1
574,1016,3
575,731,1
575,875,2
575,878,2
575,1019,3
576,733,1
577,878,2
578,1017,3
579,730,1
580,728,1
580,877,2
581,880,2
582,734,1
583,741,1
584,730,1
584,1023,3
584,1143,4
585,733,1
585,739,1
586,879,2
586,1148,4
587,736,1
587,745,1
587,883,2
588,742,1
588,880,2
589,885,2
591,743,1
591,885,2
592,733,1
593,733,1
593,753,1
593,897,2
594,741,1
595,744,1
595,882,2
595,887,2
595,1021,3
596,883,2
596,1148,4
597,1151,4
597,1250,5
598,746,1
599,887,2
600,745,1
600,883,2
601,748,1
601,754,1
601,891,2
603,750,1
603,885,2
603,1025,3
604,744,1
605,733,1
606,752,1
606,893,2
607,1027,3
608,733,1
609,756,1
609,759,1
609,893,2
610,758,1
610,1031,3
610,1035,3
610,1456,7
611,899,2
611,1149,4
612,733,1
612,901,2
613,759,1
614,760,1
614,904,2
615,760,1
615,762,1
615,906,2
615,1367,6
615,1549,8
616,764,1
616,765,1
617,766,1
617,908,2
618,909,2
618,911,2
618,1553,8
619,767,1
619,914,2
619,1045,3
619,1164,4
619,1165,4
620,769,1
621,775,1
621,913,2
621,1042,3
622,1047,3
622,1272,5
623,773,1
623,923,2
623,1048,3
623,1049,3
624,917,2
624,1053,3
624,1169,4
624,1274,5
625,775,1
625,776,1
625,1054,3
626,921,2
627,921,2
627,927,2
627,1055,3
627,1276,5
628,1176,4
629,1179,4
629,1277,5
630,786,1
630,928,2
630,1472,7
631,788,1
631,1057,3
632,1570,8
632,1728,10
633,935,2
633,1179,4
633,1284,5
633,1478,7
634,931,2
634,1279,5
635,789,1
635,1062,3
635,1185,4
635,1280,5
635,1385,6
636,790,1
636,1476,7
637,1386,6
637,1733,10
638,794,1
638,1067,3
639,797,1
639,937,2
640,794,1
640,1288,5
640,1388,6
640,1389,6
641,1068,3
641,1069,3
641,1388,6
642,798,1
642,938,2
642,1290,5
643,1393,6
643,2132,15
644,801,1
644,1191,4
645,802,1
645,1073,3
645,1738,10
646,2057,14
646,4202,50
647,803,1
647,1294,5
648,1192,4
648,1812,11
648,2645,22
649,805,1
649,2207,16
650,1078,3
650,1296,5
650,2363,18
651,1192,4
651,1742,10
652,1196,4
652,1491,7
653,1086,3
653,1745,10
653,1987,13
654,952,2
654,1085,3
654,1199,4
654,1298,5
654,1985,13
655,809,1
655,1492,7
656,810,1
657,1403,6
658,956,2
658,1199,4
658,1588,8
659,812,1
659,1203,4
659,2437,19
660,812,1
660,3687,40
661,814,1
661,960,2
661,1499,7
662,816,1
662,817,1
662,961,2
663,3430,35
663,4006,46
664,1092,3
664,2581,21
665,963,2
665,1095,3
665,1307,5
666,965,2
666,1309,5
667,820,1
667,1209,4
668,822,1
668,967,2
668,1668,9
669,971,2
669,1211,4
670,1670,9
670,1912,12
671,827,1
671,1313,5
671,1594,8
672,823,1
672,828,1
672,1313,5
673,825,1
673,2583,21
674,1213,4
674,1315,5
674,3691,40
675,2585,21
675,2903,26
676,833,1
677,978,2
677,1511,7
678,982,2
678,1512,7
678,2379,18
679,1104,3
679,1319,5
680,1106,3
680,1320,5
680,1599,8
681,1514,7
681,1832,11
682,1109,3
682,1999,13
683,986,2
683,1322,5
684,840,1
684,1111,3
685,841,1
685,989,2
685,1323,5
685,1836,11
686,1223,4
687,988,2
687,2462,19
688,843,1
689,992,2
689,1327,5
690,991,2
691,843,1
691,845,1
692,846,1
692,1116,3
693,846,1
694,845,1
695,850,1
695,998,2
695,1235,4
695,1691,9
695,1693,9
696,847,1
696,851,1
696,852,1
696,995,2
696,1127,3
696,1779,10
697,846,1
697,848,1
697,1124,3
698,849,1
698,853,1
698,997,2
698,1007,2
698,1126,3
699,852,1
700,848,1
700,857,1
700,863,1
700,1000,2
700,1005,2
700,1340,5
701,854,1
701,855,1
701,1002,2
701,1005,2
701,1439,6
702,856,1
703,852,1
703,858,1
703,1003,2
704,857,1
704,862,1
704,863,1
704,865,1
704,1006,2
705,860,1
705,1006,2
706,859,1
706,1535,7
706,1861,11
706,1945,12
707,1133,3
707,2691,22
708,1009,2
708,1241,4
708,1624,8
708,1948,12
709,864,1
709,2692,22
710,1006,2
711,1243,4
713,863,1
713,871,1
715,863,1
716,1006,2
717,1137,3
717,1246,4
719,868,1
719,870,1
719,1010,2
721,872,1
721,1006,2
722,870,1
722,1631,8
724,871,1
725,873,1
725,874,1
725,1014,2
727,1015,2
727,1143,3
728,877,1
729,878,1
729,1018,2
730,876,1
730,881,1
730,1020,2
730,1023,2
730,1146,3
731,875,1
731,879,1
731,1017,2
732,877,1
732,1016,2
733,891,1
733,897,1
733,898,1
733,901,1
733,1021,2
733,1032,2
735,877,1
735,886,1
735,1021,2
736,878,1
736,882,1
736,1018,2
736,1019,2
737,1145,3
738,881,1
738,1024,2
741,889,1
741,1021,2
742,1148,3
743,885,1
744,888,1
745,883,1
745,888,1
746,885,1
747,1151,3
747,1252,4
748,889,1
748,890,1
748,891,1
748,1021,2
749,1252,4
750,885,1
750,1025,2
751,1153,3
751,1353,5
752,893,1
752,1025,2
755,887,1
755,1027,2
756,893,1
757,894,1
757,1027,2
758,895,1
758,896,1
758,1028,2
758,1031,2
759,893,1
760,903,1
760,906,1
760,1035,2
760,1038,2
761,893,1
761,1025,2
762,1158,3
762,1262,4
762,1365,5
763,901,1
763,1039,2
763,1260,4
765,910,1
765,1040,2
766,1264,4
767,907,1
767,1160,3
767,1266,4
767,1267,4
767,1464,6
768,917,1
768,1161,3
768,1269,4
768,1370,5
769,912,1
769,919,1
769,1043,2
770,1264,4
770,1271,4
770,1720,9
771,911,1
771,1042,2
772,1164,3
772,1272,4
773,915,1
773,916,1
773,1556,7
774,920,1
774,1051,2
774,1171,3
774,1467,6
774,1561,7
774,1720,9
774,1798,10
775,1052,2
775,1168,3
775,1172,3
775,1375,5
775,1465,6
776,926,1
776,1054,2
777,921,1
777,1045,2
778,921,1
778,927,1
778,1055,2
778,1056,2
779,1053,2
779,1058,2
779,1169,3
779,1173,3
780,1175,3
780,1476,6
780,1888,11
780,1967,12
781,923,1
781,1274,4
782,924,1
782,1177,3
783,925,1
783,1472,6
784,928,1
784,1170,3
784,1560,7
785,1178,3
785,1279,4
786,1061,2
786,1477,6
786,1803,10
787,1279,4
788,1057,2
789,932,1
789,1060,2
790,1383,5
790,1569,7
790,2044,13
791,930,1
791,1063,2
792,1386,5
792,1570,7
793,936,1
793,1065,2
793,1480,6
793,1482,6
794,1067,2
794,1388,5
795,1732,9
796,938,1
796,1064,2
797,1484,6
797,1576,7
798,941,1
798,1190,3
798,1486,6
799,1189,3
799,1291,4
800,1070,2
800,3781,41
801,940,1
801,1392,5
802,1738,9
802,3530,36
803,1191,3
804,1294,4
805,944,1
805,2207,15
806,946,1
806,1078,2
806,1396,5
806,2135,14
806,2288,16
806,2840,24
807,1082,2
807,3534,36
808,2506,19
808,2959,26
809,954,1
809,1197,3
809,1299,4
809,1399,5
810,1198,3
810,1203,3
810,1300,4
811,3092,28
812,3138,29
813,2370,17
813,2439,18
814,1088,2
814,1204,3
815,960,1
815,2142,14
816,959,1
816,1089,2
816,1407,5
817,961,1
817,962,1
817,963,1
817,1091,2
817,1304,4
818,964,1
818,1206,3
818,1592,7
819,1095,2
819,1505,6
819,1828,10
820,965,1
820,1412,5
821,1312,4
821,2148,14
822,971,1
822,1211,3
