id,layer,min_m,max_m,cells,area_km2
1256,9,45,50,3,8.378754544957253
1357,10,50,55,3,8.378754544947729
612,4,20,25,3,8.378754544947727
1035,7,35,40,3,8.378754544947727
1358,10,50,55,3,8.377591621187847
3014,32,160,165,3,8.375846408506348
2343,22,110,115,3,8.375264355959692
897,6,30,35,3,8.374682539644633
4047,51,255,260,3,8.374682539644633
758,5,25,30,3,8.373518434551322
4137,53,265,270,3,8.372353857106582
438,3,15,20,3,8.371189043527252
2267,21,105,110,3,8.371189043527252
1027,7,35,40,3,8.370606518675048
1544,12,60,65,3,8.370023993827605
138,1,5,10,3,8.367109717111312
2184,20,100,105,3,8.367109717111312
748,5,25,30,3,8.365360254259775
1252,9,45,50,3,8.365360254259775
1873,16,80,85,3,8.364776785397183
426,3,15,20,3,8.36477678539243
270,2,10,15,3,8.364776785392428
427,3,15,20,3,8.364776785387674
7208,130,650,655,3,8.363610083578806
264,2,10,15,3,8.36185920519571
260,2,10,15,3,8.361275264614006
127,1,5,10,3,8.361275264609255
741,5,25,30,3,8.3601076192673
1023,7,35,40,3,8.358939502310617
1148,8,40,45,3,8.358939502305867
416,3,15,20,3,8.358355325935642
1145,8,40,45,3,8.35777091383277
253,2,10,15,3,8.356602325364424
1144,8,40,45,3,8.356602325364424
583,4,20,25,3,8.356017677574783
880,6,30,35,3,8.355433265471913
251,2,10,15,3,8.355433265467163
879,6,30,35,3,8.354263734260925
1451,11,55,60,3,8.354263734260925
407,3,15,20,3,8.353094203049938
3009,32,160,165,3,8.353094203049938
731,5,25,30,3,8.352509084041445
246,2,10,15,3,8.350753727063658
728,5,25,30,3,8.350168608059915
574,4,20,25,3,8.349583253516718
116,1,5,10,3,8.345483417100013
117,1,5,10,3,8.344311530780523
1349,10,50,55,3,8.343725234586628
234,2,10,15,3,8.34313917373768
398,3,15,20,3,8.341966346074539
231,2,10,15,3,8.341966346065057
113,1,5,10,3,8.341380049880646
26,0,0,5,3,8.34020675168473
9445,193,965,970,3,8.338446451589034
394,3,15,20,3,8.338446451584293
392,3,15,20,3,8.338446451579555
229,2,10,15,3,8.337859684867109
390,3,15,20,3,8.336685445913192
565,4,20,25,3,8.33551120696875
1701,14,70,75,3,8.33492396991935
9071,182,910,915,3,8.33492373483164
18,0,0,5,3,8.33374902565935
387,3,15,20,3,8.332573846349357
386,3,15,20,3,8.330222547688999
868,6,30,35,3,8.330222547684263
221,2,10,15,3,8.327281662222935
100,1,5,10,3,8.32610460339709
220,2,10,15,3,8.326104603392356
11989,290,1450,1455,3,8.32257201813359
378,3,15,20,3,8.322572018124129
1785,15,75,80,3,8.320804669091945
865,6,30,35,3,8.320804669087215
373,3,15,20,3,8.319036615970077
1864,16,80,85,3,8.318447264916177
212,2,10,15,3,8.318447264911448
708,5,25,30,3,8.317267858923982
2107,19,95,100,3,8.316088452945968
1696,14,70,75,3,8.31431852300414
858,6,30,35,3,8.313728233684964
1944,17,85,90,3,8.312547889530542
2177,20,100,105,3,8.311957365773324
1005,7,35,40,3,8.311957365768599
1441,11,55,60,3,8.311957365768597
1534,12,60,65,3,8.310185794539922
1622,13,65,70,3,8.3101857945352
535,4,20,25,3,8.308413520134991
701,5,25,30,3,8.308413520125546
7614,140,700,705,3,8.306640776987132
9,0,0,5,3,8.30664077698241
3175,35,175,180,3,8.306049550203616
3662,44,220,225,3,8.3054583234201
999,7,35,40,3,8.304275635603512
7349,134,670,675,3,8.304275635603512
532,4,20,25,3,8.303684174579882
1856,16,80,85,3,8.300133769171012
1689,14,70,75,3,8.299541839815017
2104,19,95,100,3,8.2995418398103
1433,11,55,60,3,8.297765349462425
2011,18,90,95,3,8.297172951966505
2171,20,100,105,3,8.295395525505771
1430,11,55,60,3,8.294802894027445
525,4,20,25,3,8.29480289402273
2094,19,95,100,3,8.29480289402273
1331,10,50,55,3,8.294210262539687
2466,24,120,125,3,8.29421002859766
2248,21,105,110,3,8.29361739711462
5715,89,445,450,3,8.293617397114618
1116,8,40,45,3,8.293617397109905
2928,31,155,160,3,8.292431666264484
2322,22,110,115,3,8.29243166625977
5606,86,430,435,3,8.29183856694511
3711,45,225,230,3,8.289465702016868
2799,29,145,150,3,8.28827880191331
2092,19,95,100,3,8.28768523497099
1680,14,70,75,3,8.28709166802396
522,4,20,25,3,8.287091434283804
1932,17,85,90,3,8.287091434274386
4082,52,260,265,3,8.285310032280705
1114,8,40,45,3,8.285310032271289
1839,16,80,85,3,8.284122197210507
356,3,15,20,3,8.283527929196385
196,2,10,15,3,8.282339626813373
1925,17,85,90,3,8.282339626813373
1926,17,85,90,3,8.282339626813373
354,3,15,20,3,8.28055635558956
355,3,15,20,3,8.280556355584853
2086,19,95,100,3,8.279961853984714
2162,20,100,105,3,8.276987711297373
2235,21,105,110,3,8.276987711297373
1220,9,45,50,3,8.276392509221095
1834,16,80,85,3,8.275202338520547
2310,22,110,115,3,8.274606903067454
1831,16,80,85,3,8.274011700995882
2733,28,140,145,3,8.273416265538085
