layer,min_m,components,area_km2
411,2055,3,8.315685511323561
412,2060,5,13.921960195755698
413,2065,4,13.92511203710819
414,2070,4,13.924794559253098
415,2075,3,8.379275183990563
416,2080,3,8.382167465999707
417,2085,4,11.092163874941658
419,2095,6,16.680086113320456
420,2100,3,8.362925835551657
421,2105,4,11.122101708695975
422,2110,2,8.293136025573691
423,2115,2,8.386299953847068
424,2120,3,8.369394961449318
425,2125,2,5.530523993074908
426,2130,1,2.7456493004829423
427,2135,2,5.528153057036185
428,2140,2,5.582855397812265
429,2145,4,11.157609660312646
430,2150,2,5.573556809421282
431,2155,2,5.5589642226588385
432,2160,2,5.577570265908621
433,2165,7,19.459404991516493
434,2170,4,11.188497235765285
436,2180,2,5.559548402003385
437,2185,2,5.547728542954273
438,2190,2,5.5735827482295655
439,2195,3,8.329775511695233
440,2200,1,2.7747796325762915
441,2205,1,2.7876755382371523
442,2210,1,2.795822614775947
443,2215,2,5.574098531677454
444,2220,3,8.350560335222074
445,2225,1,2.7998787735035564
446,2230,2,5.5893040105133185
447,2235,2,5.556023806530558
448,2240,3,11.155878505463152
449,2245,1,2.799300032601763
451,2255,1,2.7900079979393633
452,2260,2,5.577070101007421
455,2275,3,8.335685239938776
456,2280,3,8.383949765767566
457,2285,3,8.341948693537754
458,2290,1,2.795822614775947
459,2295,2,5.551819426984084
461,2305,4,11.173395090316745
462,2310,1,2.801613574501706
463,2315,3,8.392680539833812
464,2320,3,8.374674510144088
465,2325,3,8.383969612950976
466,2330,2,5.576478141892552
467,2335,3,8.374038111170922
468,2340,1,2.790590522796324
469,2345,3,8.360079310803501
470,2350,1,2.7788952270209366
472,2360,2,5.59686005361182
474,2370,1,2.7934996041402886
475,2375,1,2.797562388919948
476,2380,2,5.584654222401621
478,2390,2,5.57296273469662
479,2395,1,2.780068995642642
482,2410,1,2.7923366803851697
483,2415,1,2.8004572774829217
484,2420,3,8.360066601230582
485,2425,1,2.788842240046019
486,2430,2,5.573562940410113
488,2440,1,2.792336680380408
489,2445,1,2.7987210548408354
490,2450,2,5.5869706069804375
492,2460,2,5.58756329489161
